epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1035.85,0.80004,1.05938,0.92486,0.99791,1,0.995,0.84631,0.60722,1.07988,0.87586,0.000548,0.000548,0.000548
46,1058.74,0.77651,1.2074,0.97434,0.99841,1,0.995,0.86351,0.60701,1.05732,0.87341,0.000515,0.000515,0.000515
47,1083.75,0.80955,1.05689,0.93076,0.99862,1,0.995,0.86937,0.5576,1.0438,0.86503,0.000482,0.000482,0.000482
48,1107.37,0.76459,1.04744,0.88856,0.99862,1,0.995,0.86937,0.5576,1.0438,0.86503,0.000449,0.000449,0.000449
49,1133.71,0.77517,1.01982,0.92368,0.99809,1,0.995,0.86536,0.6014,1.02874,0.86725,0.000416,0.000416,0.000416
50,1159.11,0.68565,1.00308,0.89518,0.99809,1,0.995,0.86536,0.6014,1.02874,0.86725,0.000383,0.000383,0.000383
51,1184.2,0.71083,1.17628,0.90331,0.99817,1,0.995,0.86175,0.60804,1.01454,0.86587,0.00035,0.00035,0.00035
52,1211.25,0.7962,1.19092,1.00231,0.99815,1,0.995,0.89028,0.56545,0.99894,0.85937,0.000317,0.000317,0.000317
53,1234.48,0.67771,1.17583,0.91855,0.99815,1,0.995,0.89028,0.56545,0.99894,0.85937,0.000284,0.000284,0.000284
54,1258.29,0.66286,1.08882,0.95875,0.99794,1,0.995,0.8961,0.54536,1.00247,0.85594,0.000251,0.000251,0.000251
55,1282.34,0.63528,1.08315,0.84425,0.99784,1,0.995,0.88294,0.55245,1.01015,0.85598,0.000218,0.000218,0.000218
56,1303.21,0.71074,1.10172,0.87658,0.99784,1,0.995,0.88294,0.55245,1.01015,0.85598,0.000185,0.000185,0.000185
57,1323.88,0.68947,1.1347,0.88763,0.99767,1,0.995,0.89421,0.54304,0.99975,0.85334,0.000152,0.000152,0.000152
58,1344.34,0.66714,1.09906,0.87983,0.99767,1,0.995,0.89421,0.54304,0.99975,0.85334,0.000119,0.000119,0.000119
59,1365.12,0.64812,1.0654,0.89346,0.99769,1,0.995,0.89356,0.53132,0.99442,0.85067,8.6e-05,8.6e-05,8.6e-05
60,1386.85,0.59868,1.08336,0.86088,0.99771,1,0.995,0.89351,0.51636,0.99273,0.84844,5.3e-05,5.3e-05,5.3e-05
